# Output of 'KaSim' '-i' './SA_kdephos__FREE__/level0/model_level00_kdephos__FREE__.kappa' '-d' './SA_kdephos__FREE__/level0' '-l' '660' '-p' '10' '-syntax' '3' '--no-log' -seed 803658227
# "uuid" : "711465519"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,655
20.,0,0,1000,0,898
30.,0,0,1000,0,973
40.,0,0,1000,0,994
50.,0,0,1000,0,999
60.,0,0,1000,0,999
70.,0,0,1000,0,999
80.,0,0,1000,0,999
90.,0,0,1000,0,999
100.,0,0,1000,0,999
110.,0,0,1000,0,1000
120.,0,0,1000,0,1000
130.,0,0,1000,0,1000
140.,0,0,1000,0,1000
150.,0,0,1000,0,1000
160.,0,0,1000,0,1000
170.,0,0,1000,0,1000
180.,0,0,1000,0,1000
190.,0,0,1000,0,1000
200.,0,0,1000,0,1000
210.,0,0,1000,0,1000
220.,0,0,1000,0,1000
230.,0,0,1000,0,1000
240.,0,0,1000,0,1000
250.,0,0,1000,0,1000
260.,0,0,1000,0,1000
270.,0,0,1000,0,1000
280.,0,0,1000,0,1000
290.,0,0,1000,0,1000
300.,0,0,1000,0,1000
310.,0,0,1000,0,1000
320.,0,0,1000,0,1000
330.,0,0,1000,0,1000
340.,0,0,1000,0,1000
350.,0,0,1000,0,1000
360.,0,0,1000,0,1000
370.,0,0,1000,0,1000
380.,0,0,1000,0,1000
390.,0,0,1000,0,1000
400.,0,0,1000,0,1000
410.,0,0,1000,0,1000
420.,0,0,1000,0,1000
430.,0,0,1000,0,1000
440.,0,0,1000,0,1000
450.,0,0,1000,0,1000
460.,0,0,1000,0,1000
470.,0,0,1000,0,1000
480.,0,0,1000,0,1000
490.,0,0,1000,0,1000
500.,0,0,1000,0,1000
510.,0,0,1000,0,1000
520.,0,0,1000,0,1000
530.,0,0,1000,0,1000
540.,0,0,1000,0,1000
550.,0,0,1000,0,1000
560.,0,0,1000,0,1000
570.,0,0,1000,0,1000
580.,0,0,1000,0,1000
590.,0,0,1000,0,1000
600.,0,0,1000,0,1000
610.,12647,12165,1000,482,1000
620.,12647,12156,1000,491,1000
630.,12647,12172,1000,475,1000
640.,12647,12176,1000,471,1000
650.,12647,12170,1000,477,1000
660.,12647,12163,1000,484,1000
